price,freight_value
165.0,68.13
120.0,45.3
59.9,14.59
99.0,15.79
59.9,8.29
41.95,14.43
199.9,20.59
79.8,7.82
330.0,14.7
69.9,17.74
29.9,15.1
48.65,17.6
39.9,11.73
113.89,23.38
195.0,23.91
49.95,16.11
29.9,15.1
72.9,35.83
38.5,19.88
106.0,13.18
1240.0,102.63
105.0,23.89
24.99,17.98
39.9,8.72
49.0,17.64
49.0,17.64
39.99,18.38
28.9,13.37
1799.0,27.34
56.99,17.68
59.9,11.92
12.67,7.78
18.9,7.39
27.9,19.39
98.8,17.94
29.99,21.82
72.6,17.76
139.94,17.71
284.8,9.18
199.0,14.3
125.0,18.98
32.0,8.88
149.0,14.79
59.99,16.39
13.3,8.11
84.9,27.44
329.0,15.32
83.9,28.99
559.99,19.36
109.0,8.35
109.0,8.35
109.0,8.35
25.0,14.1
38.4,19.84
38.4,19.84
109.9,8.93
129.96,29.1
59.9,17.63
76.9,14.63
99.9,17.95
133.0,22.99
133.0,22.99
34.9,15.11
249.99,10.74
249.99,10.74
179.49,9.45
51.5,14.53
84.99,12.09
479.0,55.36
38.4,12.69
38.4,12.69
38.4,12.69
49.95,11.85
24.99,15.1
31.9,16.79
32.0,17.63
70.0,27.26
59.99,8.88
22.9,14.1
49.9,11.62
989.0,28.63
45.97,13.9
40.75,22.23
99.9,12.19
99.9,13.82
67.99,52.83
92.0,13.66
45.0,7.39
99.0,13.71
57.2,12.84
89.99,16.39
29.9,13.71
24.9,18.27
76.49,9.53
103.9,14.33
550.0,98.77
149.99,21.09
32.99,21.15
119.0,27.13
35.9,11.85
89.0,17.53
146.99,16.66
50.0,19.59
59.0,25.69
109.99,23.25
38.9,16.56
109.9,19.76
259.99,66.63
59.0,16.17
69.0,13.84
89.99,22.1
79.0,32.49
99.0,3.25
149.9,21.54
139.9,22.85
12.25,7.39
46.9,7.39
99.0,14.05
48.9,7.94
69.49,16.25
149.0,74.99
129.0,34.98
84.0,17.03
169.99,19.07
119.9,15.59
73.9,11.62
17.9,17.06
17.9,17.06
279.9,30.84
329.9,33.82
119.9,13.13
119.9,12.33
349.99,18.76
110.0,20.01
27.9,18.3
45.9,15.11
89.99,45.09
149.9,23.98
177.65,25.37
27.99,7.46
79.98,34.04
349.9,21.33
29.99,14.1
29.99,14.1
59.99,16.18
56.99,16.16
56.99,16.16
89.0,8.21
49.0,7.78
146.94,52.85
146.94,52.85
36.2,18.35
509.0,12.31
89.99,17.07
59.9,50.92
146.0,12.52
78.0,7.81
49.9,19.59
49.9,19.59
90.0,9.44
90.0,9.44
25.9,11.85
325.0,18.71
54.89,15.13
35.0,26.43
124.9,27.6
499.9,10.75
54.9,14.13
89.0,12.96
79.9,19.53
27.93,14.1
159.0,36.24
19.9,20.8
19.9,20.8
827.99,14.15
160.0,12.14
89.9,13.65
45.49,9.94
105.0,18.54
19.9,15.1
34.99,24.84
30.5,7.78
59.9,15.63
28.0,15.11
79.0,17.8
169.0,29.46
99.0,33.17
52.99,15.12
31.9,16.79
39.99,16.95
16.99,15.11
134.9,27.89
12.77,7.78
180.0,22.34
45.9,31.95
79.0,13.57
46.4,16.11
74.9,16.96
169.0,16.89
79.9,17.76
99.9,25.05
18.99,15.65
119.9,15.57
35.99,19.59
379.0,29.99
169.9,69.9
184.9,16.4
38.99,8.72
173.9,16.85
41.9,16.79
25.9,16.79
109.9,15.52
18.9,7.78
149.0,23.84
257.13,14.14
139.99,14.37
104.9,12.07
49.9,17.63
49.8,16.79
139.0,40.48
59.0,11.91
49.9,15.1
59.9,18.3
53.9,14.47
104.9,34.27
154.91,16.18
60.5,11.86
60.5,11.86
129.0,13.92
329.0,54.12
124.9,17.12
119.9,18.41
35.9,16.11
67.9,24.09
58.0,31.12
65.0,9.33
39.99,11.85
230.0,75.01
69.9,50.15
2649.99,134.17
89.0,15.37
99.9,23.57
29.99,7.78
59.9,16.18
58.9,22.73
84.9,17.84
199.0,8.65
70.9,15.25
64.5,19.64
39.9,17.63
467.0,18.02
260.0,37.12
99.99,15.01
57.9,16.17
49.99,11.73
118.13,17.02
20.99,15.1
89.9,15.38
15.99,7.39
12.88,7.87
74.9,25.04
12.97,14.1
48.9,17.6
104.9,16.98
71.3,11.15
69.5,18.59
235.0,22.1
99.99,11.9
13.65,11.85
125.0,16.5
25.99,15.1
99.87,17.14
110.32,15.87
110.32,15.87
29.9,18.31
379.0,63.63
99.99,11.72
1350.0,294.76
176.99,21.73
69.9,17.74
34.99,15.23
69.9,16.25
29.9,8.27
29.9,8.27
30.49,18.23
30.49,18.23
119.99,12.04
125.0,26.95
125.0,26.95
125.0,26.95
125.0,26.95
125.0,26.95
259.0,39.58
119.5,25.04
89.99,22.5
205.0,26.27
25.0,15.28
129.9,27.23
47.65,7.39
42.99,15.23
35.9,15.11
9.0,16.79
66.3,8.29
67.9,11.98
68.9,11.5
55.5,12.73
87.28,6.53
29.9,14.1
158.0,16.21
174.9,35.74
52.39,19.56
139.9,8.23
29.9,7.71
29.0,14.1
19.99,20.78
19.74,2.91
59.9,17.67
105.0,21.57
49.99,11.73
99.9,16.95
189.9,49.85
89.99,14.38
178.0,13.91
35.0,13.08
53.9,13.4
108.0,13.1
13.99,22.85
75.0,13.08
75.0,13.08
97.0,17.93
120.0,16.6
30.9,8.72
126.79,33.75
54.0,23.18
59.9,25.7
210.0,50.0
21.99,26.84
75.9,1.8
195.9,8.63
130.0,67.44
39.89,51.0
29.99,14.1
99.0,64.06
292.9,16.22
49.9,9.34
45.99,11.86
32.9,17.6
189.89,17.09
189.89,17.09
18.9,15.1
9.0,7.78
279.99,15.55
79.0,13.57
109.9,43.91
194.99,23.29
25.99,18.25
19.0,18.25
126.0,18.76
319.0,20.77
135.0,15.83
135.9,23.67
27.99,7.46
49.0,15.23
44.0,9.99
29.3,9.99
42.95,11.85
329.9,57.59
49.0,37.04
36.85,11.74
150.0,9.67
40.0,21.49
49.0,13.0
99.99,23.69
39.0,16.11
31.0,7.39
38.4,9.34
38.4,9.34
34.9,16.79
130.0,15.79
39.9,14.08
180.0,10.01
14.0,7.39
107.99,12.26
249.99,18.32
218.36,13.03
58.99,13.49
48.3,21.15
454.0,15.52
69.0,18.58
126.0,13.9
109.99,27.21
56.99,11.9
39.99,12.79
39.99,12.79
39.99,12.79
39.99,12.79
39.99,12.79
59.9,17.67
59.9,17.67
149.99,23.93
149.99,23.93
129.99,14.51
196.99,35.54
24.99,18.23
69.99,31.87
49.95,10.52
116.9,13.16
19.0,8.88
19.0,8.88
219.0,45.38
89.9,23.56
59.9,7.78
84.9,17.84
23.99,15.65
129.99,13.49
54.9,15.13
149.9,23.37
24.0,8.88
85.0,20.08
139.0,14.31
89.9,9.36
29.9,15.31
29.9,7.47
119.0,21.32
119.0,21.32
74.99,19.72
179.99,40.19
49.0,7.39
69.0,11.73
117.3,22.29
27.18,15.11
79.9,51.06
213.0,18.74
128.25,15.21
109.9,15.88
97.65,8.42
69.9,54.24
122.99,164.98
301.0,17.87
119.0,29.19
26.9,7.78
50.0,18.45
79.9,15.44
53.95,15.59
89.0,9.93
139.9,39.97
57.49,16.16
349.9,29.3
44.9,12.79
37.9,16.11
58.9,15.16
39.9,19.04
61.5,13.58
80.0,9.57
50.0,12.9
58.2,15.16
699.0,19.95
41.9,7.39
388.0,50.22
149.0,40.37
149.0,40.37
53.9,10.13
69.9,13.51
89.9,15.39
399.99,15.63
44.9,20.8
139.0,20.21
64.99,11.95
399.99,19.05
45.0,15.42
159.99,10.13
24.9,18.23
24.9,18.23
24.9,18.23
153.0,21.56
57.9,14.61
35.0,7.78
40.0,19.47
13.65,15.1
59.99,16.67
89.99,9.44
38.9,14.1
144.0,14.74
7.9,7.87
39.99,14.1
109.9,18.82
56.99,8.72
99.9,12.4
56.99,24.89
71.0,19.99
73.99,24.52
179.9,39.77
41.3,8.27
17.99,7.39
144.99,17.26
49.91,20.99
479.0,38.7
98.9,18.79
37.9,15.1
69.9,18.42
87.0,27.67
129.9,12.41
199.0,18.64
189.9,19.43
59.0,7.71
230.0,18.52
98.0,16.13
48.98,23.1
27.3,15.1
38.9,13.71
38.9,13.71
38.9,13.71
49.0,13.0
49.0,15.23
39.9,11.74
34.99,15.1
129.78,12.11
196.8,13.68
144.9,21.65
50.0,15.1
39.9,13.37
779.0,33.85
199.1,17.15
45.9,12.79
159.99,31.18
149.99,27.71
79.99,26.88
79.99,26.88
119.9,13.31
52.64,15.12
150.0,8.3
139.0,9.33
260.0,35.18
55.0,16.15
129.9,24.06
102.5,23.52
98.0,13.03
18.5,18.23
122.99,9.06
49.9,13.01
67.9,11.73
35.0,24.35
117.0,21.26
79.0,23.13
55.0,34.19
131.99,11.66
159.0,27.43
59.9,16.18
179.0,44.83
49.0,10.96
139.9,25.63
1199.9,26.94
27.3,8.11
49.0,14.1
259.9,20.73
89.8,14.21
89.99,14.2
129.9,15.67
170.0,25.54
170.0,25.54
42.97,14.61
184.9,21.78
89.0,12.75
102.9,22.43
23.8,7.78
23.8,7.78
44.99,8.49
49.99,8.49
60.08,17.67
44.99,7.39
44.99,7.39
99.99,20.0
69.99,15.93
45.0,22.06
69.9,12.62
69.9,12.62
62.49,57.21
35.0,8.27
109.0,18.01
58.99,11.73
49.9,16.95
29.0,7.78
29.0,7.78
49.0,7.78
10.5,15.1
13.3,15.1
49.91,20.99
119.9,17.55
69.9,12.83
86.99,17.04
63.99,17.03
52.99,11.76
37.5,16.32
29.98,7.78
29.0,15.79
29.0,15.79
89.99,16.39
62.34,15.19
89.99,45.09
89.0,15.37
139.99,17.37
69.5,18.59
89.99,13.65
56.99,15.15
139.99,15.74
12.95,7.39
179.99,23.58
39.99,18.23
148.5,165.32
45.91,17.6
69.9,19.19
239.99,70.54
159.0,64.48
99.89,8.28
19.9,24.84
63.99,8.29
69.9,38.04
79.9,13.9
39.9,11.15
24.99,7.78
99.0,15.57
18.99,14.52
18.99,14.52
336.0,17.1
630.0,64.49
630.0,64.49
49.9,15.1
479.0,18.1
168.8,15.93
129.9,71.46
40.85,71.46
36.9,19.32
14.99,14.1
85.71,11.69
143.0,38.55
84.89,7.94
159.0,26.61
70.0,16.74
99.0,23.01
174.9,18.47
89.9,15.38
48.9,18.63
49.99,9.34
200.0,20.37
53.8,22.31
115.0,37.72
29.6,7.78
138.0,21.46
55.0,14.14
79.9,26.86
69.9,15.24
32.0,14.1
179.0,15.0
177.0,27.78
177.0,27.78
177.0,27.78
177.0,27.78
177.0,27.78
177.99,18.82
19.95,11.85
99.0,44.49
58.99,17.66
90.0,17.76
22.9,11.85
56.99,9.94
98.9,16.45
59.9,13.0
24.99,17.06
96.49,15.56
98.0,13.03
29.9,9.34
229.9,16.49
89.99,42.91
199.9,21.89
174.0,14.97
110.32,8.03
538.9,24.17
49.9,11.85
119.9,12.04
108.9,21.25
89.15,21.04
36.9,12.92
36.9,12.92
69.0,7.39
75.9,19.5
70.0,7.78
74.9,16.96
28.99,15.1
55.0,15.49
107.9,23.34
79.9,18.44
17.0,7.39
99.0,33.08
18.95,24.35
159.9,9.47
227.9,13.1
189.0,8.51
17.9,15.23
39.9,11.85
19.99,7.4
122.99,22.57
30.0,8.29
119.9,15.59
109.9,8.53
139.0,17.41
139.0,17.41
1149.65,22.8
107.0,17.46
116.0,25.3
84.9,17.84
127.0,17.8
129.9,47.21
66.5,18.71
159.9,14.14
54.9,13.4
220.0,38.67
39.0,50.99
49.0,11.73
339.9,27.67
99.0,8.46
99.99,11.9
100.0,25.25
288.92,27.3
29.9,8.11
78.0,23.05
69.9,14.22
139.0,14.58
139.0,14.58
28.69,12.69
159.0,13.67
13.49,18.23
118.99,17.08
129.99,25.75
69.9,17.74
1890.0,73.14
179.9,17.02
179.9,17.02
114.9,14.97
75.9,25.81
69.9,10.21
65.0,16.42
299.99,14.93
89.9,19.6
49.9,23.5
314.99,18.91
40.0,15.1
115.0,8.06
184.9,14.41
170.0,30.44
170.0,30.44
170.0,30.44
170.0,30.44
170.0,30.44
170.0,30.44
55.0,37.3
69.9,21.13
124.9,18.12
59.89,15.3
112.99,18.51
125.9,23.46
139.9,22.85
38.5,11.74
1999.0,46.47
84.99,27.13
79.9,23.14
18.0,17.06
18.0,17.06
101.0,42.86
858.9,17.92
36.49,9.27
28.9,18.3
270.0,16.64
10.99,15.1
34.9,16.6
69.0,24.97
44.5,19.5
49.9,14.1
39.99,12.76
69.9,34.29
69.9,34.29
39.99,19.59
39.99,19.59
49.77,7.78
379.9,69.01
48.9,9.09
144.0,14.37
467.0,21.15
156.99,23.68
63.99,11.15
63.99,11.15
99.9,17.14
65.5,12.8
65.0,16.21
79.9,18.44
112.0,14.95
179.49,16.14
349.9,16.95
47.5,20.84
599.0,73.41
24.53,15.27
26.0,16.11
129.99,31.66
1680.0,28.01
1680.0,28.01
1680.0,28.01
1680.0,28.01
1680.0,28.01
1680.0,28.01
1680.0,28.01
1680.0,28.01
132.2,19.03
219.99,33.14
499.0,59.16
69.9,11.99
169.99,16.4
229.9,15.78
13.65,19.04
46.9,14.1
119.9,23.12
135.9,21.88
23.9,9.34
110.0,36.43
276.99,14.6
364.98,39.24
57.49,11.15
119.3,18.67
180.0,8.29
37.9,52.71
59.9,43.22
32.5,17.19
32.5,17.19
32.5,17.19
37.9,12.93
199.9,10.53
95.99,12.38
95.99,12.38
69.9,16.25
113.0,13.81
113.0,13.81
169.99,15.95
39.9,15.1
99.99,19.94
34.9,9.34
132.7,25.68
31.89,15.79
12.99,7.39
49.9,7.78
154.91,16.18
29.99,15.16
50.0,15.1
49.9,13.37
18.9,13.47
39.9,17.63
19.0,16.11
119.9,15.94
35.9,11.85
149.9,23.98
124.7,19.84
239.9,17.31
269.9,12.51
35.9,9.0
46.9,28.75
103.97,24.01
103.97,24.01
117.0,15.57
48.9,11.73
84.99,17.84
46.9,8.88
189.0,58.78
109.9,18.05
91.0,12.98
45.7,20.43
120.0,16.28
65.0,15.2
80.0,27.32
89.9,1.37
189.0,12.82
24.9,8.33
49.9,14.1
125.0,23.45
49.9,13.71
49.9,13.71
89.99,18.2
79.9,9.77
79.9,9.77
85.9,21.09
169.97,17.9
49.0,17.67
81.99,12.07
81.99,12.07
155.9,45.01
155.9,45.01
12.5,15.1
167.92,12.68
64.89,8.27
19.33,10.96
144.41,17.45
90.0,8.98
130.0,17.35
39.0,18.23
89.9,19.82
